Column1;X;English;German;Hungarian;Conc.M;GermanMutuality;GermanJointness;EnglishMutuality;EnglishJointness;HungarianMutuality;HungarianJointness;V.Mean.Sum;A.Mean.Sum;D.Mean.Sum;en_log_freq;de_log_freq;hu_log_freq
122;122;to bike;radfahren;biciklizni;5;-0.933333333;-0.704918033;-0.898305085;-0.80952381;-0.85;-0.8;6.1;3.62;5.89;0.414140709;0.260104794;0.586002977
123;123;to bounce;federn;pattogni;3.86;-0.389830508;-0.75862069;-0.6;-0.777777778;-0.85;-0.8;6.1;4.68;6.15;1.077716655;0.414005129;0.595876339
124;124;to camp;zelten;táborozni;4.35;-0.333333333;0.31147541;-0.133333333;0.174603175;-0.25;0.7;7;4.14;5.89;0.943316904;0.357122643;0.441542752
125;125;to chill;chillen;kikapcsolódni;2.89;-0.6;-0.409836066;-0.8;-0.777777778;-0.85;-0.4;5.16;3.25;5.55;0.800535626;0.222906271;0.690359131
126;126;to clap;klatschen ;tapsolni;4.16;-0.366666667;0.213114754;-0.366666667;-0.301587302;-0.25;-0.1;6.05;5.15;6.19;0.552966159;NA;0.800119512
127;127;to collide;kollidieren;ütközni;4;0.933333333;0.672131148;0.733333333;0.587301587;0.55;0.55;3.1;4.33;3.95;0.742312631;0.547926005;1.424960815
128;128;to cook;kochen;főzni;4.32;-0.666666667;-0.606557377;-0.5;-0.80952381;-0.8;-0.85;7.12;4.33;6.25;1.524447014;1.483029987;1.653559907
129;129;to cry;weinen;sírni;4;-1;-0.901639344;-0.8;-0.936507937;-0.95;-0.85;3.22;5.45;2.56;1.464728091;1.11699505;1.516902617
130;130;to dance;tanzen;táncolni;4.32;-0.033333333;0.639344262;-0.366666667;0.238095238;-0.25;0.65;7.27;5.48;6.28;1.297335855;1.294445723;1.363871727
131;131;to dine;speisen;étkezni;3.37;-0.766666667;-0.31147541;-0.166666667;0.015873016;-0.85;-0.25;6.6;4;6.05;0.977822339;0.834791254;0.768120635
132;132;to dive;tauchen;merülni;4.03;-0.830508475;-0.573770492;-0.9;-0.904761905;-0.9;-0.85;5.81;3.79;5.75;1.05672462;1.51351085;1.636914559
133;133;to drink;trinken;inni;4.76;-0.8;-0.508196721;-0.733333333;-0.555555556;-0.9;-0.6;6.67;5.19;5.87;1.601433395;1.662714306;1.855270501
134;134;to drive;fahren;vezetni;3.86;-0.766666667;-0.803278689;-0.766666667;-0.80952381;-0.8;-0.9;6.5;4.19;5.67;2.202913004;2.352480708;2.495081005
135;135;to eat;essen;e-mailezni;4.44;-0.833333333;-0.31147541;-0.866666667;-0.555555556;-0.95;-0.7;7.1;4.38;7.26;2.084412824;1.878436767;2.094025
136;136;to exercise;trainieren;edzeni;3.87;-0.8;-0.31147541;-0.833333333;-0.682539683;-0.95;-0.6;6.33;5.41;6.9;1.423809599;1.474779898;1.272143418
137;137;to fish;fischen;horgászni;5;-0.830508475;-0.606557377;-0.733333333;-0.746031746;-0.75;-0.55;6.42;3.33;6.08;1.049047761;0.847668884;0.755280914
138;138;to giggle;kichern;kuncogni;3.72;-0.6;0.081967213;-0.033333333;0.015873016;-0.4;-0.5;7.95;5.39;4.75;0.605477437;0.327530575;0.357599473
139;139;to grin;grinsen;vigyorogni;4.17;-0.666666667;-0.737704918;-0.466666667;-0.714285714;-0.65;-0.6;7.66;5.65;5.58;0.872947192;0.873649541;0.716789373
140;140;to groan;stöhnen;nyögni;4.09;-0.796610169;-0.573770492;-0.7;-0.746031746;-0.8;-0.85;3.9;4.17;5.5;0.636156784;0.560829268;0.706776651
141;141;to growl;knurren;morogni;4.3;-0.733333333;-0.868852459;-0.333333333;-0.904761905;-0.65;-0.8;4.43;3.95;5.11;0.643281886;0.45373714;0.669741668
142;142;to hike;wandern;túrázni;4.14;-0.766666667;0.016393443;-0.666666667;-0.396825397;-0.8;-0.05;6.68;4.32;5.69;1.189686221;1.450787638;0.73830162
143;143;to hop;hüpfen;szökkenni;3.8;-0.833333333;-0.639344262;-0.8;-0.841269841;-0.9;-0.9;5.89;3.71;5.04;0.838776073;0.71206857;0.337093701
144;144;to hunt;jagen;vadászni;3.81;0.166666667;-0.475409836;-0.3;-0.238095238;-0.65;-0.2;3.84;5.1;5.3;1.12598391;1.142963244;1.1320223
145;145;to jog;joggen;kocogni;3.63;-0.933333333;-0.704918033;-0.866666667;-0.841269841;-0.95;-0.9;5.81;3.43;6.35;0.572292932;0.428869879;0.452778195
146;146;to jump;springen;ugrani;4.52;-0.9;-0.737704918;-0.666666667;-0.873015873;-0.9;-0.95;6.44;5.14;5.72;1.647396859;1.521985569;1.592952906
147;147;to knit;stricken;kötni;4.41;-0.933333333;-0.93442623;-0.866666667;-0.904761905;-0.95;-0.95;5.85;3.35;6.44;0.926626395;0.895104168;1.98936068
148;148;to laugh;lachen;nevetni;4.21;-0.466666667;0.114754098;-0.1;-0.111111111;-0.65;-0.1;7.56;6.62;7.39;1.531846762;1.548825828;1.757584056
149;149;to march;marschieren;menetelni;4.03;-0.566666667;0.37704918;-0.5;0.015873016;-0.6;0.5;NA;NA;NA;1.132408272;0.799664426;0.574804203
150;150;to meditate;meditieren;meditálni;3.25;-0.866666667;-0.93442623;-0.766666667;-0.746031746;-0.95;-0.85;6.47;2.85;7.15;0.654684687;0.442137843;0.539333336
151;151;to pack;packen;csomagolni;3.83;-0.566666667;-0.901639344;-0.833333333;-0.841269841;-0.75;-0.85;5.55;4.1;6.05;1.503430846;1.44790546;0.924425577
152;152;to paint;malen;festeni;4.79;-0.8;-0.967213115;-0.866666667;-0.80952381;-0.85;-0.9;5.74;4.5;6.56;1.568221326;1.285203203;1.745319287
153;153;to play;spielen;játszani;3.24;0.133333333;0.508196721;0.4;0.396825397;-0.4;0.25;7.55;3.81;6.29;2.629669007;2.502973673;2.561784288
154;154;to rap;rappen;rappelni;3.57;-0.571428571;-0.689655172;-0.566666667;-0.619047619;-0.487179487;-0.5;5.6;4.3;4.82;0.449974893;0.340794978;NA
155;155;to read;lesen;olvasni;3.56;-0.933333333;-1;-0.9;-0.904761905;-1;-0.95;6.73;3.7;6.11;2.58372162;2.369351321;2.41316476
156;156;to recite;rezitieren;felolvasni;3.93;-0.133333333;-0.639344262;-0.6;-0.428571429;0.15;-0.25;5.45;3.29;5.32;0.806749612;0.270830172;0.82193779
157;157;to relax;entspannen;lazítani;2.86;-0.9;-0.901639344;-0.666666667;-0.777777778;-0.95;-0.75;7.82;2.38;6.94;1.524860809;1.280127453;0.893531519
158;158;to rest;ruhen;pihenni;3.03;-1;-0.967213115;-0.833333333;-0.904761905;-0.95;-0.85;7.86;2.29;5.78;1.417474683;1.182287941;1.542308072
159;159;to ride;reiten;lovagolni;3.75;-0.766666667;-0.508196721;-0.6;-0.46031746;-0.85;-0.85;6.27;5.1;5.28;1.662795406;1.061421188;0.787680046
160;160;to row;rudern;evezni;3.93;-0.566666667;-0.016393443;-0.2;0.079365079;-0.8;-0.55;5.48;3.39;6.06;0.396427771;0.443813527;0.650461976
161;161;to run;laufen;futni;4.31;-0.966666667;-0.868852459;-0.666666667;-0.80952381;-0.9;-0.85;6.41;5.24;5.44;2.603366618;2.328436731;2.040936239
162;162;to sail;segeln;vitorlázni;4.59;-0.633333333;-0.049180328;-0.6;-0.428571429;-0.8;-0.2;6.84;3.74;6.37;1.104060802;0.825424819;0.434319752
163;163;to sew;nähen;varrni;3.93;-0.933333333;-0.901639344;-0.86440678;-0.873015873;-0.794871795;-0.85;5.67;4.35;5.77;0.844816898;1.18425493;1.046156337
164;164;to shop;einkaufen;vásárolni;4.31;-0.9;-0.770491803;-0.8;-0.555555556;-0.8;-0.65;5.89;4.76;5.72;1.064658243;1.204268703;2.086476256
165;165;to shout;schreien;kiáltani;4.17;-0.566666667;-0.704918033;0.066666667;-0.365079365;-0.4;-0.95;5;6.29;5.85;1.166425081;1.203444129;1.370380394
166;166;to sign;unterschreiben;jelezni;4.62;-0.833333333;-0.803278689;-0.333333333;-0.555555556;0.2;-0.5;5.27;3.19;5.38;2.020945447;1.152881577;2.116898471
167;167;to sing;singen;énekelni;4.34;-0.8;-0.31147541;-0.627118644;-0.619047619;-0.75;-0.15;7.5;4.1;6.67;1.684769084;1.600877754;1.726610431
168;168;to sit;sitzen;ülni;4.8;-0.933333333;-0.901639344;-0.766666667;-0.777777778;-0.85;-0.9;5.82;3.19;6.06;2.172733871;2.015194768;2.072804785
169;169;to skate;eislaufen;korcsolyázni;4.56;-0.7;-0.049180328;-0.766666667;-0.682539683;-0.75;-0.15;6.74;4.48;4.84;0.580238225;0.052208985;0.001002063
170;170;to ski;skifahren;síelni;4.63;-0.666666667;-0.147540984;-0.766666667;-0.516129032;-0.95;-0.45;5.91;6.05;4.86;0.596151578;0.215510666;0.739987455
171;171;to sleep;schlafen;aludni;4.44;-0.966666667;-0.901639344;-0.766666667;-0.777777778;-0.9;-0.75;7.22;3.6;5.3;1.652683317;1.588656181;1.825338146
172;172;to smile;lächeln;mosolyogni;4.5;-0.533333333;-0.606557377;-0.4;-0.492063492;-0.7;-0.4;7.89;4.62;7.72;1.50915546;1.122732791;1.39112926
173;173;to stand;stehen;állni;4.16;-0.966666667;-0.967213115;-0.9;-0.746031746;-0.95;-0.85;5.27;3.1;5.89;2.215484595;2.910206529;2.796635359
174;174;to study;lernen;tanulni;3.7;-0.966666667;-0.639344262;-0.733333333;-0.682539683;-1;-0.8;5.78;2.55;5.33;1.956398872;2.24703243;2.182411171
175;175;to swim;schwimmen;úszni;4.43;-0.833333333;-0.672131148;-0.766666667;-0.714285714;-0.95;-0.8;6.71;6.05;6.47;1.188443602;1.199132901;1.42215615
176;176;to swing;schaukeln;hintázni;4.54;-0.633333333;-0.573770492;-0.762711864;-0.619047619;-0.85;-0.55;6.95;4.1;6.16;1.114916084;0.442671005;0.292464306
177;177;to travel;reisen;utazni;3.67;-0.666666667;0.114754098;-0.4;-0.301587302;-0.8;0;7.89;5.55;6.82;1.970045509;1.591795833;1.872587147
178;178;to walk;spazieren;sétálni;4.07;-0.8;-0.409836066;-0.9;-0.714285714;-0.9;-0.65;6.77;3.24;5.83;2.156314163;0.979082419;1.468831727
179;179;to whistle;pfeifen;fütyülni;4.42;-0.866666667;-0.967213115;-0.6;-0.841269841;-0.85;-0.85;5.7;3.94;5.78;0.507610332;0.72281813;0.547188689
180;180;to yell;kreischen;ordítani;3.86;-0.666666667;-0.540983607;0.066666667;-0.333333333;-0.65;-0.7;3.58;4.94;4.29;1.094585714;0.29668493;0.88942777
181;181;to applaud;applaudieren;éljenezni;3.8;0.4;0.606557377;0.7;0.365079365;0.1;0.3;6.7;5.05;5.91;0.806951518;0.281537856;0.182120648
182;182;to approach;nähern;közelíteni;2.74;0.661016949;0.016393443;0.833333333;0.26984127;-0.1;-0.3;5.45;4.48;6.03;1.677894076;1.157819888;1.411875158
183;183;to bash;hauen;verni;3.52;0.866666667;0.147540984;0.333333333;-0.206349206;0.65;-0.05;3.68;5.14;4.46;0.549953009;1.133219137;1.765830919
184;184;to bite;beißen;harapni;4.44;0.433333333;-0.540983607;-0.3;-0.587301587;-0.5;-0.75;3.52;5.1;6.58;1.122496686;1.009175018;0.909605767
185;185;to bless;segnen;áldani;2.68;0.833333333;0.049180328;0.633333333;-0.047619048;0.2;-0.45;7;4.57;6.26;1.321771741;0.874070522;0.995361371
186;186;to bruise;prellen;horzsolni;4.73;-0.033333333;-0.573770492;-0.433333333;-0.548387097;-0.794871795;-0.95;3.24;4.04;3.78;0.571378037;0.164326083;0.059813245
187;187;to bump;stoßen;koccanni;4.1;0.389830508;-0.278688525;0.433333333;-0.111111111;0.692307692;0.6;5.05;4.75;5.33;0.842618599;1.660484118;0.168494537
188;188;to carry;tragen;cipelni;4.04;-0.333333333;-0.770491803;-0.4;-0.619047619;-0.7;-0.65;5.67;3.47;4.94;2.203006546;2.314805989;0.944253126
189;189;to celebrate;feiern;ünnepelni;2.9;0.5;0.836065574;0.5;0.714285714;0.2;0.65;7.84;6.73;6.12;1.790234763;1.920375478;1.724793928
190;190;to choke;ersticken;fojtani;3.97;-0.466666667;-0.770491803;0.266666667;-0.238095238;0.55;-0.2;2.42;5.3;3.74;0.791211187;0.658692371;0.647236224
191;191;to clean;reinigen;tisztítani;3.07;-0.9;-0.93442623;-0.833333333;-0.873015873;-0.9;-0.9;7.09;3.57;6.11;1.745853402;1.433348292;1.328441583
192;192;to crash;abstürzen;csapódni;3.79;-0.733333333;-0.704918033;-0.333333333;-0.428571429;-0.2;-0.65;2.9;4.55;3.3;1.247580506;0.557400119;0.950831032
193;193;to curse;verfluchen;átkozni;2.39;0.6;-0.37704918;0;-0.650793651;0.2;-0.45;2.9;5.2;5.15;0.816065558;0.431764096;0.420419519
194;194;to cut;schneiden;vágni;4.55;-0.833333333;-0.836065574;-0.5;-0.873015873;-0.7;-0.9;3.9;5.07;4.55;2.076727731;1.609574028;2.083810996
195;195;to destroy;zerstören;tönkretenni;3.08;-0.233333333;-0.704918033;0.166666667;-0.80952381;0;-0.75;2.67;5.16;4.3;1.813930352;1.571833513;1.085916767
196;196;to drag;schleppen;vonszolni;4.17;-0.133333333;-0.540983607;-0.1;-0.555555556;-0.35;-0.45;3.68;4.81;5.52;1.324770197;0.801904952;0.465971427
197;197;to draw;zeichnen;rajzolni;3.97;-0.8;-1;-0.733333333;-0.841269841;-0.95;-0.85;6.18;3.6;6.37;2.077680703;1.749382863;1.434093794
198;198;to drown;ertrinken;fullasztani;3.93;-0.9;-0.93442623;-0.533333333;-0.841269841;0.65;-0.35;2.33;5.35;2.65;0.973805102;0.497848439;0.090903194
199;199;to dry;abtrocknen;szárítani;3.77;-0.8;-0.901639344;-0.833333333;-0.936507937;-0.9;-0.85;4.86;3.8;6.21;1.450741184;0.358229991;1.218292558
200;200;to examine;untersuchen;vizsgálni;2.86;0.033333333;-0.442622951;-0.066666667;-0.492063492;-0.25;-0.45;5.61;3.95;5.84;1.789728883;1.719599986;1.89926782
201;201;to fetch;holen;hozni;3.42;-0.566666667;-0.737704918;-0.466666667;-0.714285714;-0.65;-0.9;5.32;4.05;5.6;0.811311534;1.961741215;2.669788731
202;202;to find;finden;találni;2.63;-0.1;-0.704918033;-0.3;-0.777777778;-0.75;-0.85;6.45;3.52;6.24;2.970672308;3.044303013;2.70106239
203;203;to grab;greifen;markolni;3.52;-0.1;-0.901639344;-0.066666667;-0.46031746;-0.55;-0.85;5.44;4.5;5.28;1.54654328;1.817531986;0.527771636
204;204;to hear;hören;hallani;3.66;-0.366666667;-0.93442623;0;-0.650793651;-0.7;-0.65;6.68;3.62;6.71;2.372020988;2.172454376;0.577737601
205;205;to hit;schlagen;ütni;4.11;0.833333333;0.114754098;0.633333333;-0.047619048;0.3;-0.25;3.95;5.48;5.15;2.081684026;1.941155006;1.675826441
206;206;to hold;halten;fogni;3.68;-0.133333333;-0.672131148;0.433333333;-0.047619048;-0.55;-0.8;6.05;4.86;5.67;2.545843875;2.574097218;2.933618665
207;207;to hurt;verletzen;bántani;3.61;0.3;-0.213114754;0.1;-0.111111111;0.75;-0.15;2.45;4.72;3.73;1.617896224;1.574410849;1.28021608
208;208;to ignore;ignorieren;ignorálni;2.22;0.866666667;-0.409836066;0.6;-0.396825397;0.6;-0.5;3.33;3.8;4.83;1.727342282;1.278013756;0.288394562
209;209;to kick;treten;rúgni;4.33;0.466666667;-0.442622951;0.322033898;-0.301587302;-0.55;-0.85;4.55;5.1;5.1;1.563823402;2.119175425;1.384893303
210;210;to lick;lecken;nyalni;4.52;0.133333333;-0.639344262;-0.333333333;-0.46031746;-0.55;-0.75;6.38;6.2;5.97;0.795413508;0.702151257;0.758833198
211;211;to observe;beobachten;figyelni;2.63;0.333333333;-0.672131148;0.033333333;-0.682539683;-0.3;-0.7;5.3;4.25;5.92;1.818718123;1.801291245;2.268662225
212;212;to pay;zahlen;fizetni;3.54;-0.466666667;-0.770491803;0.1;-0.523809524;-0.25;-0.7;6.23;4.24;6.33;2.430844359;1.858621883;2.190021305
213;213;to poison;vergiften;mérgezni;4.27;0.433333333;-0.278688525;0.466666667;-0.142857143;0.65;-0.3;2.16;6.01;3.38;0.72088748;0.565715622;0.588187642
214;214;to protect;schützen;védeni;2.86;0.2;0.180327869;0.533333333;0.142857143;0.25;0.128205128;6.83;3.7;5.83;2.108676052;1.985135754;1.923070318
215;215;to pull;ziehen;húzni;3.97;0.033333333;-0.639344262;-0.066666667;-0.492063492;-0.55;-0.85;5.59;4.1;6;2.002681594;2.34029024;1.981186949
216;216;to punch;boxen;bokszolni;4.39;0.8;0.639344262;0.766666667;-0.079365079;0.15;0.6;3.27;5.8;5.26;0.900342545;0.658821006;0.360676705
217;217;to push;schieben;tolni;4.21;-0.1;-0.606557377;0.166666667;-0.301587302;-0.6;-0.8;5.39;4.4;4.06;1.927893819;1.437057993;1.53853176
218;218;to roll;rollen;gurítani;4.16;-0.766666667;-0.803278689;-0.7;-0.746031746;-0.55;-1;5.72;3.9;5.11;1.66751319;1.343660431;0.532280345
219;219;to rotate;rotieren;forgatni;3.45;-0.533333333;-0.639344262;-0.566666667;-0.746031746;-0.65;-0.3;5.24;3.35;5;1.228068865;0.44825479;NA
220;220;to rush;eilen;sietni;2.9;-0.866666667;-0.901639344;-0.7;-0.873015873;-0.95;-0.9;4.05;6.55;6.79;1.354492793;0.84231774;1.39497567
221;221;to salute;salutieren;szalutálni;4.48;0.366666667;0.213114754;0.433333333;0.301587302;0.538461538;0.3;6.22;4.38;6.4;0.518815209;0.066460107;0.078833671
222;222;to scratch;kratzen;vakarni;4.16;-0.4;-0.672131148;-0.3;-0.619047619;-0.8;-0.8;4.95;4.35;4.5;0.982182556;0.783222317;0.431984201
223;223;to scream;brüllen;sikítani;4.32;-0.366666667;-0.737704918;-0.633333333;-0.80952381;-0.6;-0.85;3.02;6.74;4.51;1.260968639;0.627271613;0.393487458
224;224;to scrub;schrubben;dörzsölni;3.86;-0.833333333;-0.868852459;-0.8;-0.873015873;-0.6;-0.85;4.53;3.95;5.17;0.591717784;0.193778332;0.867830329
225;225;to see;sehen;látni;3.21;-0.133333333;-0.868852459;-0.5;-0.714285714;-0.75;-0.75;6.27;3.9;6;3.099839765;2.899204292;2.990201089
226;226;to shake;schütteln;rázni;4.07;0.066666667;-0.573770492;-0.066666667;-0.333333333;-0.75;-0.75;4.59;5.2;6.37;1.519120607;1.068450441;1.171754528
227;227;to smash;zertrümmern;szétzúzni;3.79;-0.233333333;-0.770491803;-0.166666667;-0.650793651;-0.35;-0.6;4.68;5.76;5.77;0.91008093;0.261961936;0.294814404
228;228;to smell;riechen;szagolni;3.7;-0.366666667;-0.901639344;-0.7;-0.841269841;-0.9;-0.9;6.39;5.24;5.44;1.17769576;1.208553947;0.523817976
229;229;to sniff;schnuppern;szimatolni;4.17;-0.1;-0.8;-0.733333333;-0.873015873;-0.7;-0.9;5.1;4.95;5.92;0.68079948;0.607525791;0.2988749
230;230;to spin;drehen;pörgetni;3.9;-0.833333333;-0.93442623;-0.833333333;-0.904761905;-0.75;-0.85;4.9;3.68;4.92;1.250854567;1.836746429;NA
231;231;to splash;spritzen;fröcskölni;4.19;-0.233333333;-0.704918033;-0.366666667;-0.587301587;0;-0.15;6.53;4.8;5.96;0.604538158;0.875082688;0.17330867
232;232;to squeeze;drücken;nyomni;3.75;0.366666667;-0.409836066;0.366666667;-0.142857143;-0.6;-0.95;4.85;3.91;6;1.046707382;1.733899035;1.769921921
233;233;to stretch;dehnen;nyújtani;3.62;-0.966666667;-0.868852459;-0.866666667;-0.80952381;-0.3;-0.75;5;4.73;6.23;1.387793853;0.77910926;2.338967167
234;234;to touch;berühren;megérinteni;3.86;0.8;0.245901639;0.166666667;-0.206349206;0.7;-0.05;6.64;4.9;6.24;1.626200714;1.368568573;1.052802021
235;235;to visit;besuchen ;látogatni;3.92;0.933333333;0.442622951;0.694915254;0.238095238;0.9;0.1;6.56;3.9;5.06;2.169339357;NA;1.767720824
236;236;to wait;warten;várni;2.68;-0.833333333;-0.836065574;-0.766666667;-0.80952381;-0.6;-0.8;4.55;3.62;5.31;2.144496214;2.041057043;2.685332736
237;237;to wash;waschen;mosni;4.35;-0.933333333;-0.868852459;-0.766666667;-0.873015873;-0.9;-0.95;6;3.7;6.53;1.436030907;1.374915435;1.522446451
238;238;to watch;anschauen;nézni;4.61;0.266666667;-0.573770492;-0.333333333;-0.523809524;-0.5;-0.85;5.45;3.37;6.55;2.230033691;1.601967042;2.6638298
239;239;to whip;peitschen;ostorozni;4.68;0.533333333;-0.213114754;0.366666667;-0.238095238;0.05;-0.45;3.6;5.1;4.43;0.902272201;0.296641062;0.413725466
240;240;to write;schreiben;írni;4.22;-0.466666667;-0.93442623;-0.6;-0.873015873;-0.8;-0.85;6.45;3.81;5.28;2.640467504;2.504665986;2.819147415
